"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
157.011213339436,27.67236655824,157.009794286436,157.012561426953,25.660755369232,29.6742733670587,"(S)-malic acid","CHEBI:30797","BJEPYKJPYRNKOW-REOHCLBHSA-N","C4H6O5","[M+Na]+","pos",FALSE,145.782208148356,"2_8"
179.056156792445,26.7796596150771,179.053842430731,179.056504987283,24.2836596150771,31.3446629247209,"(S)-malic acid","CHEBI:30797","BJEPYKJPYRNKOW-REOHCLBHSA-N","C4H6O5","[M+CHO2]-","neg",FALSE,115.489195300664,"2_8"
151.040121116117,143.473259548974,151.039969094797,151.040219951285,133.389320180161,168.13350017752,"(S)-mandelic acid","CHEBI:32800","IWYDHOAUDWTVEP-ZETCQYMHSA-N","C8H8O3","[M-H]-","neg",TRUE,525.967189630642,"2_3"
197.042603499548,143.473259548974,197.042212183638,197.043690912569,138.431699879964,148.009078448846,"(S)-mandelic acid","CHEBI:32800","IWYDHOAUDWTVEP-ZETCQYMHSA-N","C8H8O3","[M+CHO2]-","neg",FALSE,525.967189630642,"2_3"
177.040364716489,42.4361089892628,177.038347834484,177.042926141547,39.8991013872416,46.4926579451087,"(S)-methylsuccinic acid","CHEBI:91316","WXUAQHNMJWJLTG-VKHMYHEASA-N","C5H8O4","[M+CHO2]-","neg",FALSE,399.149703657371,"2_4"
131.034907333503,52.5750736099636,131.034764511229,131.035059302996,45.478245865053,70.3001519441496,"(S)-methylsuccinic acid","CHEBI:91316","WXUAQHNMJWJLTG-VKHMYHEASA-N","C5H8O4","[M-H]-","neg",TRUE,412.58220128612,"2_4"
518.321817159287,443.599004589077,518.318937387199,518.322042322543,440.206206930432,453.803128559208,"1-hexadecanoyl-sn-glycero-3-phosphocholine","CHEBI:72998","ASWBNKHCZGQVJV-HSZRJFAPSA-N","C24H50NO7P","[M+Na]+","pos",FALSE,1411.32964803678,"2_4"
540.331267768522,444.486486856653,540.330573211273,540.33160105994,440.479730304747,466.023266354159,"1-hexadecanoyl-sn-glycero-3-phosphocholine","CHEBI:72998","ASWBNKHCZGQVJV-HSZRJFAPSA-N","C24H50NO7P","[M+CHO2]-","neg",FALSE,1428.18779461175,"2_4"
496.3403599176,443.599004589077,496.338982333068,496.340974192311,439.528202313868,463.337940722522,"1-hexadecanoyl-sn-glycero-3-phosphocholine","CHEBI:72998","ASWBNKHCZGQVJV-HSZRJFAPSA-N","C24H50NO7P","[M+H]+","pos",FALSE,1411.32964803678,"2_4"
359.315599485545,598.268657688305,359.31383871521,359.315940898075,595.561657688285,602.329157688305,"1-stearoyl-sn-glycerol","CHEBI:75550","VBICKXHEKHSIBG-FQEVSTJZSA-N","C21H42O4","[M+H]+","pos",FALSE,0,"3_2"
381.297853099768,598.268657688305,381.296028383283,381.298418361096,595.561657688285,603.006157688315,"1-stearoyl-sn-glycerol","CHEBI:75550","VBICKXHEKHSIBG-FQEVSTJZSA-N","C21H42O4","[M+Na]+","pos",FALSE,0,"3_2"
403.306076992538,595.903083821677,403.304822267097,403.306610186839,591.909083821687,601.895083821667,"1-stearoyl-sn-glycerol","CHEBI:75550","VBICKXHEKHSIBG-FQEVSTJZSA-N","C21H42O4","[M+CHO2]-","neg",FALSE,0,"3_2"
786.597140023572,371.903640916386,786.594375404022,786.598280298493,369.20770133545,376.62166263942,"1,2-dioleoyl-sn-glycero-3-phosphocholine","CHEBI:74669","SNKAWJBJQDLSFF-NVKMUCNASA-N","C44H84NO8P","[M+H]+","pos",FALSE,1115.38187865862,"3_2"
784.582086864845,371.959270178488,784.580256641749,784.582573920978,368.966273152242,378.945542224309,"1,2-dioleoyl-sn-glycero-3-phosphocholine","CHEBI:74669","SNKAWJBJQDLSFF-NVKMUCNASA-N","C44H84NO8P","[M-H]-","neg",FALSE,1127.06165898301,"3_2"
808.577801047455,371.903640916386,808.575603304657,808.580428860897,369.881916909674,373.925459434234,"1,2-dioleoyl-sn-glycero-3-phosphocholine","CHEBI:74669","SNKAWJBJQDLSFF-NVKMUCNASA-N","C44H84NO8P","[M+Na]+","pos",FALSE,1115.38187865862,"3_2"
69.0449335441887,24.307155369256,69.0447024558493,69.0452789457292,22.276755369232,34.3495167920404,"1H-imidazole","CHEBI:16069","RAXXELZNTBOGNW-UHFFFAOYSA-N","C3H4N2","[M+H]+","pos",FALSE,0,"2_8"
112.98558809646,23.2846596150771,112.985587091199,112.985593145123,18.2920596150411,26.7796596150771,"1H-imidazole","CHEBI:16069","RAXXELZNTBOGNW-UHFFFAOYSA-N","C3H4N2","[M+CHO2]-","neg",FALSE,0,"2_8"
296.099939258237,36.8532189306193,296.099281917648,296.100091471578,33.2998354765639,41.421529217488,"2'-deoxyadenosine","CHEBI:17256","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C10H13N5O3","[M+CHO2]-","neg",FALSE,352.55961721288,"2_4"
250.094767672413,30.2551693038186,250.090106570101,250.09638689327,28.2232914560367,33.2998354765639,"2'-deoxyadenosine","CHEBI:17256","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C10H13N5O3","[M-H]-","neg",FALSE,290.763071590223,"2_4"
252.109575808353,30.4309160447302,252.108989895734,252.109930816481,27.0904405326625,34.4409336246985,"2'-deoxyadenosine","CHEBI:17256","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C10H13N5O3","[M+H]+","pos",FALSE,278.304081003822,"2_4"
274.103509566565,42.4609911921228,274.091032135283,274.104527094329,35.1093259277129,48.4818613380703,"2'-deoxyadenosine","CHEBI:17256","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C10H13N5O3","[M+Na]+","pos",FALSE,388.549727204842,"2_4"
330.061316710359,27.9372574828902,330.059734701667,330.079917270762,22.933375016796,43.6708261044107,"2'-deoxyadenosine 5'-monophosphate","CHEBI:17713","KHWCHTKSEGGWEX-RRKCRQDMSA-N","C10H14N5O6P","[M-H]-","neg",TRUE,220.202354531156,"1_4"
332.075878150828,27.392916277216,332.075269168705,332.076068057649,24.7027811379521,40.7439300675359,"2'-deoxyadenosine 5'-monophosphate","CHEBI:17713","KHWCHTKSEGGWEX-RRKCRQDMSA-N","C10H14N5O6P","[M+H]+","pos",TRUE,185.319180425015,"1_4"
376.028753749002,30.4758497863997,376.027029729435,376.029727173245,26.9283135358316,36.0586395413796,"2'-deoxyadenosine 5'-monophosphate","CHEBI:17713","KHWCHTKSEGGWEX-RRKCRQDMSA-N","C10H14N5O6P","[M+CHO2]-","neg",FALSE,301.251250721441,"1_4"
226.083275137079,27.2790596150811,226.082301250367,226.083599557731,25.2820596150651,39.4727556614905,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M-H]-","neg",FALSE,165.504217834866,"2_8"
250.079902787642,26.33715536926,250.07875888598,250.080458078467,24.307155369256,32.3460438433886,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+Na]+","pos",FALSE,0,"2_8"
272.089155155341,27.2790596150811,272.08487663516,272.089410280929,24.7826596150731,43.5340576972898,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+CHO2]-","neg",FALSE,165.504217834866,"2_8"
228.098187579615,27.0047106344956,228.09782160548,228.09832983286,24.307155369256,40.3586006130449,"2'-deoxycytidine","CHEBI:15698","CKTSBUTUHBMZGZ-SHYZEUOFSA-N","C9H13N3O4","[M+H]+","pos",FALSE,0,"2_8"
