"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP037999",132.104209308067,107.707101861612,132.101687922068,132.105558629059,104.730044585668,111.278437765523,4755.09307824869,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.0386901600668352,292.961859510633,"pos","1_2",132.065519148,"C5H10NO3",2,2,1,0.936891346162347,3,0,0,476.894694712296,3
"CP636832",154.095490340162,496.503592080579,154.087250891399,154.098938448593,493.512533686813,516.250493690295,27730.8342791762,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0480271921616122,311.768796318771,"pos","1_2",154.047463148,"C5H9NO3Na",1,0,0,0,0,0,0,1656.55062864526,8
"CP085277",142.047526366379,25.5480632861979,142.04724199695,142.048007936376,23.7530632861845,29.1146070057677,25377.7282894144,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+Na]+",6.32183800632902e-05,0.445051102372895,"pos","1_5",142.047463147999,"C4H9NO3Na",8,5,1,0.948565038720113,6,0,0,0,1
"CP435393",118.051048284803,27.2584411283219,118.05070839031,118.051238982115,24.8644411283219,33.2854488551357,68377.8477935057,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M-H]-",8.11368043400762e-05,0.687303173368805,"neg","1_5",118.050967147999,"C4H8NO3",2,1,1,0.948565038720113,0,0,0,114.568257240966,1
"CP086730",120.065859787216,26.1460632862179,120.063983924098,120.066146424935,23.1540632861979,36.2233019926516,4641247.89816394,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",0.00034063921748384,2.83711110317984,"pos","1_5",120.065519147999,"C4H10NO3",9,1,1,0.947531305510868,6,0,0,0,1
"CP087741",142.048512361086,156.178792512602,142.047508511542,142.049313571174,154.394223821569,157.368935944617,556.692717972471,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+Na]+",0.00104921308732742,7.3863556875651,"pos","1_5",142.047463147999,"C4H9NO3Na",3,3,1,0.948565038720113,3,0,0,539.256063285704,3
"CP435076",118.058378908677,27.2584411283219,118.057104607063,118.059007205709,24.8644411283219,29.665650625938,5619.59067659701,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M-H]-",0.00741176067802485,62.7844130131761,"neg","1_5",118.050967147999,"C4H8NO3",2,1,1,0.948565038720113,0,0,0,114.568257240966,1
"CP436133",118.042181245766,42.9270396689422,118.041936068736,118.04232252356,41.1196884616117,45.3374318819647,2450.45470505771,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M-H]-",-0.00878590223335607,74.4246527208989,"neg","1_5",118.050967147999,"C4H8NO3",2,2,1,0.948565038720113,0,0,0,357.310614483104,2
"CP084820",120.052646943779,26.1460632862179,120.052356563106,120.053053595148,24.3510632861979,27.9296807285529,11845.8324371338,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",-0.0128722042200167,107.209832692679,"pos","1_5",120.065519147999,"C4H10NO3",9,1,1,0.947531305510868,6,0,0,0,1
"CP088999",120.078554830992,262.837860236009,120.077723352924,120.079323720279,261.020363125206,264.049743484539,913.128980377206,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",0.0130356829927791,108.571412386188,"pos","1_5",120.065519147999,"C4H10NO3",1,0,0,0,0,0,0,743.555921069459,5
"CP440760",164.037239563319,662.291657731588,164.035702100824,164.039296965795,660.496657731574,663.488657731588,619.171490665539,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+CHO2]-",-0.0192035846804117,117.054742330892,"neg","1_5",164.056443147999,"C5H10NO5",0,0,0,0,0,0,0,0,8
"CP084852",142.072215068691,25.5480632861979,142.070967332627,142.07425271077,23.7530632861845,27.9296807285529,3269.03886910392,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+Na]+",0.0247519206923243,174.251057666094,"pos","1_5",142.047463147999,"C4H9NO3Na",8,5,1,0.948565038720113,0,0,0,0,1
"CP434914",118.074166760058,27.2584411283219,118.073508082275,118.075026158321,25.4624411282819,29.0632420686486,2025.41561608887,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M-H]-",0.0231996120585904,196.521999091336,"neg","1_5",118.050967147999,"C4H8NO3",2,1,1,0.948565038720113,0,0,0,114.568257240966,1
"CP086168",120.090388721261,26.1460632862179,120.089890700825,120.090798884502,22.5560632861845,32.6664258806202,289959.34254126,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",0.0248695732619382,207.133350510754,"pos","1_5",120.065519147999,"C4H10NO3",9,1,1,0.947531305510868,6,0,0,0,1
