"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","target_theo_logP","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP012338",1,249.146421764891,342.628512737095,340.592974018227,346.062374589598,680.526298987544,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+Na]+",0.0506114568905218,203.180683079102,-4.099,"pos","1.1",249.095810308,"C9H14N4O3Na",1,0,0,0,0,0,0,977.57375635419,4
"CP012633",1,227.125276057866,378.38337876684,375.648227414232,381.222380884447,1447.79603167834,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M+H]+",0.0114097498661465,50.2380151931067,-4.099,"pos","1.1",227.113866308,"C9H15N4O3",4,0,0,0,1,0,0,1120.7462703362,5
"CP103168",2,225.098826073631,22.9072487223476,20.6384487223796,27.2234487223436,142218.519139709,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M-H]-",-0.000488234368845042,2.16897315012252,-4.099,"neg","1.1",225.099314308,"C9H13N4O3",4,1,4,0.978089427716751,9,1,1,0,1
"CP103169",2,225.098965920714,30.0727135462018,27.2234487223436,37.2754869611515,129177.871403645,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3",226.106590308,"[M-H]-",-0.000348387285811214,1.54770478480677,-4.099,"neg","1.1",225.099314308,"C9H13N4O3",5,1,4,0.977231615711949,7,1,1,208.642328929494,1
"CP011773",1,484.010704238477,37.2779575961463,35.1551446200922,39.4436668337516,996.587903860885,"CTP","CHEBI:17677","PCDQPRRSZKQHHS-XVFCMESISA-N","C9H16N3O14P3",482.984512082,"[M+H]+",0.018916156477303,39.0836310513975,-6.309,"pos","1.1",483.991788082,"C9H17N3O14P3",5,0,0,0,0,0,0,305.376347112902,1
"CP104776",2,481.977990558175,38.6832956153632,34.4320932462137,57.2646855810163,249843.768236525,"CTP","CHEBI:17677","PCDQPRRSZKQHHS-XVFCMESISA-N","C9H16N3O14P3",482.984512082,"[M-H]-",0.000754476174563479,1.56537719643489,-6.309,"neg","1.1",481.977236082,"C9H15N3O14P3",3,1,5,0.977366923718696,3,0,0,273.593540132415,1
"CP011389",1,126.054202527992,23.848795913102,21.76299591311,25.345795913138,738.605192333004,"D-alpha-aminobutyric acid","CHEBI:28797","QWCKQJZIFLGMSD-GSVOUGTGSA-N","C4H9NO2",103.063328528,"[M+Na]+",0.00165399999188764,13.121511712397,-2.466,"pos","1.1",126.052548528,"C4H9NO2Na",2,0,2,0.986062936188803,0,0,0,0,1
"CP011741",1,330.071672932477,35.6921330398092,33.5883078910594,39.4436668337516,2842.60431471012,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M+Na]+",-0.00135333152320527,4.10009729823498,-4.23,"pos","1.1",330.073026264,"C10H17N3O6SNa",9,2,3,0.73700439368741,2,0,0,292.670943643819,1
"CP011862",1,308.090963196051,36.5464803708595,32.9243369826896,44.1824056313066,150696.150532159,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M+H]+",-0.000119067949185592,0.386469963072685,-4.23,"pos","1.1",308.091082264,"C10H18N3O6S",9,1,6,0.96138789529917,8,1,1,301.728081650123,1
"CP103866",2,306.076483445511,35.1404732610414,29.2476243125068,44.2790897731628,443042.558496342,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M-H]-",-4.68184887836287e-05,0.152963341368404,-4.23,"neg","1.1",306.076530264,"C10H16N3O6S",4,1,5,0.961058039462051,7,0,0,246.869376638971,1
