chrom_peak_id;mzmin;mzmax;rtmin;rtmax;into;target_ChEBI.name;target_ChEBI;target_InChIKey;target_formula;target_M;adduct;mixture;ms1_adduct_count;ms1_adduct_05_count;isopeak_count;isopeak_sim;ms2_count;ms2_matched_count;ms2_true_count;RTI;rt_regions;rtmed;mzmed;number_of_peaks;
CP301186;228.085291;228.0883888;155.5637953;167.1288058;18513.85695;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+CHO2]-;2_3;1;1;1;0.88427927;0;0;0;548.2101385;3;161.6012629;228.0873017;1;FALSE
CP301419;182.0441615;182.0460331;185.160918;188.1555111;922.2840727;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M-H]-;2_3;0;0;0;0;0;0;0;578.9554112;4;186.6586601;182.0451096;1;FALSE
CP066389;206.0986833;206.101112;232.2310495;238.3924158;24499.22027;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+Na]+;2_3;2;0;0;0;0;0;0;663.4700651;5;234.9707511;206.1003963;1;FALSE
CP066582;184.0802131;184.0822006;252.7102085;256.1172231;1322.776147;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+H]+;2_3;2;0;0;0;0;0;0;708.7832652;6;254.0726318;184.0809683;1;FALSE
CP066745|CP066795;206.0661564;206.0689992;262.2550996;277.9274542;37878.62688;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+Na]+|[M+H]+;2_3;3;0;0;0;0;0;0;754.223478613287|748.298430085049;7;268.734231;195.0909876;2;
CP067536;184.1279895;184.1297953;407.1222492;410.4942713;821.2038613;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+H]+;2_3;2;0;0;0;0;0;0;1269.33383;8;409.1451459;184.1289228;1;FALSE
CP067778;184.1084924;184.1141995;442.3136854;453.2080317;18055.60613;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+H]+;2_3;1;0;0;0;0;0;0;1420.127512;9;445.7127354;184.111947;1;FALSE
CP303661;228.0824558;228.0858973;458.0100594;460.5142608;439.8791646;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+CHO2]-;2_3;1;0;0;0;0;0;0;1488.794903;10;459.0115864;228.0839077;1;FALSE
CP067879;206.0878069;206.0914072;483.2398825;491.4413994;4050.322056;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+Na]+;2_3;2;0;0;0;0;0;0;1593.394518;11;487.3409998;206.0897399;1;FALSE
CP307094|CP070847|CP070081|CP307034|CP069993|CP069996;206.102751;206.103899;20.32812591;41.12362807;3802246.895;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+CHO2]-|[M+H]+|[M+Na]+|[M-H]-|[M+H]+|[M+Na]+;2_4;22;4;3;0.456031644;15;0;0;0|0|0|119.420551478932|154.078178315611|0;1;26.06672768;176.4115389;6;
CP070465;162.0682282;162.0714145;43.79862907;49.81989854;6053.878053;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+H]+;2_4;2;1;1;0.916617215;3;0;0;403.7532998;2;47.14370149;162.0701602;1;FALSE
CP070848;162.1115655;162.1137867;61.1985437;71.24259977;41475.87821;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+H]+;2_4;1;1;1;0.916617215;3;0;0;426.5159773;3;66.55502992;162.1124956;1;FALSE
CP071083;162.0911245;162.0923694;164.3386338;174.376741;85624.55937;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+H]+;2_4;0;0;0;0;0;0;0;550.2775472;4;168.3505122;162.09156;1;FALSE
CP071213;184.0526141;184.0562932;189.175491;197.3044467;4665.581601;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+Na]+;2_4;2;0;0;0;0;0;0;582.2492077;5;193.2337359;184.055706;1;FALSE
CP071396;184.0958696;184.0979316;204.117818;208.9068755;10052.96019;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+Na]+;2_4;2;1;1;0.916713858;0;0;0;598.8697418;6;206.1693313;184.0962844;1;FALSE
CP072298;184.1145143;184.1161162;261.5477585;275.1769653;53631.92188;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+Na]+;2_4;1;0;0;0;0;0;0;746.2448037;7;267.0028565;184.1154558;1;FALSE
CP073783;184.1093235;184.1126599;441.5624036;453.1224679;17482.31976;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+Na]+;2_4;1;0;0;0;0;0;0;1419.81191;8;445.6369104;184.1120414;1;FALSE
CP074407;184.1120193;184.1124514;558.4440499;561.8697136;1747.584534;(R)-carnitine;CHEBI:16347;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7H15NO3;161.1051933;[M+Na]+;2_4;1;0;0;0;0;0;0;1914.680041;9;560.5000659;184.1122806;1;FALSE
CP104819|CP348519|CP347563;170.0790526;170.0814137;22.24578493;40.04643463;434669.0366;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+H]+|[M-H]-|[M+CHO2]-;2_9;16;9;3;0.902892958;6;1;1;0|0|0;1;25.6153903;184.0729191;3;
CP104972;170.0505618;170.0530615;63.72426925;71.75347235;9146.063333;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+H]+;2_9;2;0;0;0;3;0;0;429.011508;2;69.07670628;170.0522528;1;FALSE
CP105478;192.0135669;192.0153197;172.8348837;178.8717235;50580.14713;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+Na]+;2_9;3;0;0;0;9;0;0;559.2370968;3;175.5156193;192.0141886;1;FALSE
CP107427;170.0550185;170.0564509;401.4961057;405.5374653;6498.370357;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+H]+;2_9;2;0;0;0;0;0;0;1245.054591;4;403.5171006;170.0558611;1;FALSE
CP107529;170.0949204;170.098751;416.3191188;425.8315594;10782.1565;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+H]+;2_9;3;0;0;0;0;0;0;1311.496794;5;419.705079;170.0963393;1;FALSE
CP108900;170.1169805;170.1192627;498.2905072;507.2060546;53099.23136;(R)-noradrenaline;CHEBI:18357;SFLSHLFXELFNJZ-QMMMGPOBSA-N;C8H11NO3;169.0738932;[M+H]+;2_9;2;0;0;0;0;0;0;1656.464823;6;502.4052875;170.1175187;1;FALSE
CP046385|CP485468|CP280011|CP279740;155.0491281;155.0513305;21.06460232;34.50229202;200616.9037;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+Na]+|[M+H]+|[M-H]-|[M+CHO2]-;2_10;4;0;0;0;0;0;0;0|0|0|184.920368514987;1;25.93828978;149.0510307;4;
CP046946;155.0655973;155.0700574;41.85212137;47.20347111;2843.537204;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+Na]+;2_10;2;2;1;0.929941045;0;0;0;400.7766052;2;44.52714072;155.0679785;1;FALSE
CP281128;131.0335733;131.0347771;125.2694087;127.7861243;850.9773187;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M-H]-;2_10;0;0;0;0;3;0;0;504.820625;3;126.2757657;131.0340619;1;FALSE
CP047556|CP047673|CP281496;133.1045064;133.1071191;165.0165543;173.0883598;9040.605972;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+H]+|[M+H]+|[M-H]-;2_10;7;0;0;0;21;0;0;552.363697597329|552.363697597329|556.738242317969;4;169.3357757;132.3983835;3;
CP047949|CP047902|CP283564|CP281841;133.0848843;133.0862893;184.0446571;210.8579959;8772358.121;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+H]+|[M+Na]+|[M-H]-|[M+CHO2]-;2_10;26;7;2;0.464945659;39;2;1;575.57374124427|575.57374124427|580.707964823616|580.707964823616;5;187.9595858;149.0751665;4;
CP282751;177.0912125;177.0943972;357.9421681;364.4350672;15971.05729;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+CHO2]-;2_10;3;0;0;0;0;0;0;1081.071318;6;360.4394057;177.0921376;1;FALSE
CP049942;155.1057735;155.1081542;503.3099035;515.6366812;26520.91911;(S)-2-hydroxy-4-methylpentanoic acid;CHEBI:44510;LVRFTAZAXQPQHI-YFKPBYRVSA-N;C6H12O3;132.0786442;[M+Na]+;2_10;2;0;0;0;0;0;0;1688.451411;7;509.473472;155.1066827;1;FALSE
