"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP011504",1,120.065084104063,24.6014284151519,22.4426284151519,28.8487509453493,2617.50287434804,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",-0.000435043936434454,3.62338779294492,"pos","1.1",120.065519147999,"C4H10NO3",4,2,3,0.985506242936434,2,2,1,0,1
"CP012109",1,120.075641241964,103.121806869103,100.394778577607,109.849294200435,1385.60991023916,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",0.0101220939650233,84.3047532451533,"pos","1.1",120.065519147999,"C4H10NO3",0,0,0,0,1,0,0,454.76510085539,2
"CP011467",1,169.094382037773,22.4426284151519,21.0176284151879,24.6014284151519,1800.78503068716,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.000365650226655134,2.16239848756156,"pos","1.1",169.094747688,"C6H14N2O2Na",6,4,3,0.988106600515694,2,0,0,0,1
"CP011642",1,147.112309079306,22.4426284151519,19.7124284151479,25.9298284151639,3245.33701983316,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.000494608693799137,3.36210500649633,"pos","1.1",147.112803688,"C6H15N2O2",6,4,2,0.98581281294527,3,1,1,0,1
"CP011643",1,147.112181169831,28.8487509453493,25.9298284151639,31.5801176994434,1977.23438407813,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.000622518168768238,4.23157028594525,"pos","1.1",147.112803688,"C6H15N2O2",5,3,2,0.983578969658857,0,0,0,166.725912846495,1
"CP012159",1,147.098058185535,103.121806869103,99.0089284129504,111.014136211252,7810.25824489442,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.0147455024645637,100.23262486273,"pos","1.1",147.112803688,"C6H15N2O2",0,0,0,0,8,0,0,454.76510085539,2
"CP012245",1,169.085512885665,204.976525489841,202.446998808888,206.949412590598,876.195298359099,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.00923480233518603,54.6131826177437,"pos","1.1",169.094747688,"C6H14N2O2Na",1,0,0,0,1,0,0,578.450273024688,3
"CP012258",1,169.085364542568,222.414658841589,220.375134948378,225.008948864541,439.295934543524,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.00938314543196839,55.4904605865193,"pos","1.1",169.094747688,"C6H14N2O2Na",0,0,0,0,2,0,0,600.230281965757,4
"CP102984",2,145.097472086871,22.9249944568989,21.0337944568989,26.5403944569309,17963.1713141911,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M-H]-",-0.000779601129352159,5.37291883453227,"neg","1.1",145.098251688,"C6H13N2O2",2,2,3,0.9888708529947,5,0,0,0,1
"CP011413",1,140.081094004904,0.064228415147889,-0.481371584832111,0.602828415155889,268.86316794927,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+Na]+",0.0128954129038164,92.0652441699416,"pos","1.1",140.068198592,"C5H11NO2Na",4,0,0,0,0,0,0,0,1
"CP012088",1,118.072185042356,103.121806869103,99.6261616767501,106.570093117477,900.24518411045,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-0.0140695496441197,119.146378998397,"pos","1.1",118.086254592,"C5H12NO2",2,0,0,0,1,0,0,454.76510085539,3
"CP012223",1,118.064255196738,187.49447768158,185.474179215472,190.251359097364,3534.63533593261,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-0.0219993952621991,186.299373607955,"pos","1.1",118.086254592,"C5H12NO2",1,0,0,0,3,1,0,556.728991261027,4
"CP194278",1,140.081069019579,1.51222841518789,0.602828415155889,5.72282841514789,1140.223409048,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+Na]+",0.0128704275790028,91.8868644587388,"pos","1.1",140.068198592,"C5H11NO2Na",3,0,0,0,0,0,0,0,1
"CP103310",2,116.070864312419,28.5531829901886,26.5403944569309,32.1840236659563,2584.34833933021,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M-H]-",-0.000838279581444112,7.22208395952218,"neg","1.1",116.071702592,"C5H10NO2",2,1,2,0.990463451863473,2,0,0,173.886342310793,2
"CP011920",1,186.05447518816,40.811684147081,37.2881004503456,45.4569203203987,3016.43730429679,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+Na]+",0.0349410401600778,187.835327725733,"pos","1.1",186.019534148,"C5H9NO3SNa",2,0,0,0,8,0,0,323.000918439268,1
"CP011979",1,164.037010570098,51.9126082100621,50.0535475541646,54.0312603152176,1607.21863879623,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+H]+",-0.000579577902271922,3.53320176033437,"pos","1.1",164.037590148,"C5H10NO3S",5,2,3,0.899892770984738,2,1,1,378.367123242194,2
"CP011980",1,186.018924131685,51.9126082100621,50.0535475541646,54.7094710403958,1917.48335072665,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+Na]+",-0.000610016315107487,3.27931320708581,"pos","1.1",186.019534148,"C5H9NO3SNa",5,2,3,0.976687841148456,5,0,0,378.367123242194,2
"CP104561",2,162.022356110738,51.0988634352558,45.6637664980924,58.4960153937385,39101.0432653112,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M-H]-",-0.000682037262350832,4.20950792027381,"neg","1.1",162.023038148,"C5H8NO3S",3,1,4,0.91536422513374,2,0,0,367.246461758021,2
"CP104729",2,162.022215830236,92.011966343385,88.6326297582382,97.9354712272185,4603.06813586981,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M-H]-",-0.000822317764146874,5.07531381676553,"neg","1.1",162.023038148,"C5H8NO3S",1,1,3,0.92451499373989,6,0,0,443.391451674922,3
"CP011778",1,175.045307490981,34.4106880405516,30.3389382740956,36.5566716510517,1789.53272637901,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",-0.0260253090187064,148.655457192626,"pos","1.1",175.0713328,"C6H11N2O4",8,4,2,0.881836774121181,5,1,1,274.178339570517,1
