"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP043558",184.114362296694,184.115007354939,278.791399237378,282.939902578281,1559.68856299496,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3",161.10519334,"[M+Na]+","2_4",1,0,0,0,3,0,0,"758.556183669912",4,281.589286244365,184.114727393025,1
"CP062073",192.064995179762,192.065195073307,172.315938885416,184.913725970493,104503.308722573,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3",169.073893212,"[M+Na]+","2_9",1,1,1,0.907418399146104,5,2,1,"543.738149611945",1,175.613109544991,192.065075263397,1
"CP061562",170.036951707735,170.037725218613,29.8063990209686,38.2380816933545,8127.17532492858,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3",169.073893212,"[M+H]+","2_9",1,0,0,0,3,0,0,"253.614381312404",2,32.5882655214064,170.037328811724,1
"CP031895|CP118073|CP118072",133.059118852928,133.059301409679,25.6670838494756,45.1899838440024,8733.90918734505,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3",132.078644244,"[M+H]+|[M+CHO2]-|[M+CHO2]-","2_10",3,0,0,0,22,3,2,"301.589447740167|215.41943359078|109.833980841597",1,33.9283403049153,162.379548180531,3
"CP118379",131.034378615231,131.034579610226,50.227147139938,59.0528283595533,20179.4736503521,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3",132.078644244,"[M-H]-","2_10",1,0,0,0,6,2,1,"370.682659610781",2,52.1390013672236,131.034506346179,1
"CP118392",131.033707354117,131.034225575459,67.5317139007478,70.9644714075249,403.695842672221,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3",132.078644244,"[M-H]-","2_10",1,0,0,0,3,1,0,"416.735976598067",3,68.928517634542,131.033972252619,1
"CP149597",149.064387240714,149.06501437043,37.8506948439203,44.0998276062239,9119.24081648575,"(S)-2-hydroxybutyric acid","CHEBI:50613","AFENDNXGAFYKQO-VKHMYHEASA-N","C4H8O3",104.047344115999,"[M+CHO2]-","2_6",1,0,0,0,5,1,0,"250.645785514498",1,41.3472102962129,149.064937107521,1
"CP151330",103.054357880143,103.054713607297,292.921751741612,296.448477382447,817.15472446796,"(S)-2-hydroxybutyric acid","CHEBI:50613","AFENDNXGAFYKQO-VKHMYHEASA-N","C4H8O3",104.047344115999,"[M-H]-","2_6",1,0,0,0,4,0,0,"802.170133604943",2,295.049610072996,103.054522974807,1
"CP061345|CP061377",113.03327955726,113.033874171224,29.8063990209686,35.4189181528276,2506.83651043583,"(S)-lactic acid","CHEBI:422","JVTAAEKCZFNVCJ-REOHCLBHSA-N","C3H6O3",90.0316940519999,"[M+Na]+|[M+H]+","2_9",2,1,1,0.480882542079866,1,0,0,"253.614381312404|234.460233036132",1,31.8920122315649,102.043481732606,2
"CP062001",91.0530331214149,91.0540127586056,174.327961941166,180.378864943022,486.107807491971,"(S)-lactic acid","CHEBI:422","JVTAAEKCZFNVCJ-REOHCLBHSA-N","C3H6O3",90.0316940519999,"[M+H]+","2_9",1,0,0,0,1,0,0,"543.738149611945",2,175.613109544991,91.0533932261698,1
