"","Name","SMILES","RTI","exact mass","formula","logP","POS","NEG","mz_pos","mz_neg","NAPS_POS_1","NAPS_POS_2","NAPS_POS_3","NAPS_POS_4","NAPS_POS_5","NAPS_POS_6","NAPS_NEG_1","NAPS_NEG_2","NAPS_NEG_3","NAPS_NEG_4","NAPS_NEG_5","NAPS_NEG_6"
"C11-APS","C11-APS","CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1100,313.171164907,"C16H27NO3S",0.43,"[M+ H]+","[M+CHO2]-",314.178440907,358.169364907,347.98499107362,347.98499107362,347.7600002289,601.07997894288,NA,347.87000656128,347.58098602296,347.6119995117,347.59400367738,347.63099670408,NA,347.68200874326
"C12-APS","C12-APS","CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1200,327.186814972,"C17H29NO3S",0.87,"[M+ H]+","[M+CHO2]-",328.194090972,372.185014972,372.2620010376,372.2620010376,372.27298736574,601.07997894288,372.33598709106,372.38299369812,372.10598945616,372.1119976044,372.11500167846,372.1440124512,393.17732810974,372.1949958801
"C13-APS","C13-APS","CCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1300,341.202465036,"C18H31NO3S",1.32,"[M+ H]+","[M+CHO2]-",342.209741036,386.200665036,396.50399208066,396.50399208066,396.50299072266,601.07997894288,396.56799316404,396.61299705504,396.34400367738,396.33599281314,396.58000946046,396.38800621032,396.22899055482,NA
"C14-APS","C14-APS","CCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1400,355.218115101,"C19H33NO3S",1.76,"[M+ H]+","[M+CHO2]-",356.225391101,400.216315101,420.63400268556,420.63400268556,420.60198783876,601.07997894288,420.68698883058,420.61500549318,420.56098937988,420.57801246642,420.58899879456,420.61400413512,420.45899391174,420.52399635312
"C15-APS","C15-APS","CCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1500,369.233765165,"C20H35NO3S",2.21,"[M+ H]+","[M+CHO2]-",370.241041165,414.231965165,444.80998992918,444.80998992918,444.54199790952,601.07997894288,NA,444.69099998472,444.61701393126,444.63000297546,444.64399337766,444.44898605346,NA,444.6869945526
"C16-APS","C16-APS","CCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1600,383.249415229,"C21H37NO3S",2.65,"[M+ H]+","[M+CHO2]-",384.256691229,428.247615229,468.3580112457,468.3580112457,468.31300735476,601.07997894288,468.44201087952,468.2339859009,468.17699432376,468.17098617552,468.19499015808,468.21899414064,468.28299522402,NA
"C17-APS","C17-APS","CCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1700,397.265065294,"C22H39NO3S",3.1,"[M+ H]+","[M+CHO2]-",398.272341294,442.263265294,491.71600341798,491.71600341798,491.70101165772,601.07997894288,491.58502578738,491.62302017214,491.53301239014,491.52700424196,491.57901763914,491.35202407836,NA,NA
"C18-APS","C18-APS","CCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1800,411.280715358,"C23H41NO3S",3.54,"[M+ H]+","[M+CHO2]-",412.287991358,456.278915358,514.36100006106,514.36100006106,573.1439781189,601.07997894288,597.07397460936,514.25199508668,514.40002441404,514.38102722166,514.20301437378,514.20301437378,NA,NA
"C19-APS","C19-APS","CCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",1900,425.296365423,"C24H43NO3S",3.99,"[M+ H]+","[M+CHO2]-",426.303641423,470.294565423,536.30498886108,536.30498886108,573.1439781189,601.07997894288,597.07397460936,536.19501113892,536.13401412966,536.09401702878,536.15598678588,536.15198135376,NA,NA
"C20-APS","C20-APS","CCCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O",2000,439.312015487,"C25H45NO3S",4.43,"[M+ H]+","[M+CHO2]-",440.319291487,484.310215487,556.93702697754,556.93702697754,573.1439781189,601.07997894288,597.07397460936,556.83099746706,556.76502227784,556.97301864624,556.79100036624,556.7670249939,NA,557.03899383546
