"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP601540",167.026633719931,167.044391861212,576.790134393452,584.789478265511,3327.19342940234,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-","2_8",1,0,0,0,0,0,0,"0",12,580.673438989392,167.036072865326,1
"CP601541|CP601542|CP741148|CP741149",167.026931138271,167.046110491167,573.580810510372,631.691123925912,30357.4335820811,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-|[M-H]-|[M+CHO2]-|[M+CHO2]-","2_8",10,1,1,0.2273667862509,13,0,0,"0|0|0|0",13,596.739460908662,190.026941907946,4
"CP602549",213.01318847092,213.020843229808,632.833778344852,637.408458673232,4887.73624955222,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-","2_8",1,0,0,0,0,0,0,"0",14,634.889804803592,213.017301509453,1
"CP602543|CP741150|CP602555|CP602553|CP602552",213.0146484375,213.026971624804,639.007484399552,682.509128534092,10019.5265522852,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-","2_8",5,0,0,0,3,0,0,"0|0|0|0|0",15,667.776935540904,213.01738035205,5
"CP602541|CP602546|CP602544|CP602545|CP602554",213.012982439712,213.028420272978,686.392814599772,720.005790673971,7109.23576900135,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-","2_8",2,0,0,0,0,0,0,"0|0|0|0|0",16,704.09213253188,213.018440195033,5
"CP732244|CP351688",412.007202148438,412.204010009766,25.5383257682821,30.5498999942809,2576.14101690062,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+H]+|[M+Na]+","3_1",21,0,0,0,0,0,0,"0|0",1,27.473912766547,423.189608449434,2
"CP641317",456.12624084321,456.222688636256,285.983999696327,292.796295213006,10116.8438126872,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+CHO2]-","3_1",4,0,0,0,0,0,0,"883.656717254543",2,288.482541903927,456.214549687976,1
"CP642497",456.153646365541,456.181311673931,307.056882398202,312.119653647034,1740.74375229827,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+CHO2]-","3_1",3,0,0,0,0,0,0,"963.643775312979",3,310.369938318621,456.163867562543,1
"CP357148",434.096009892157,434.225691608762,335.091737860176,341.510269431411,1276.93741443682,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+Na]+","3_1",7,0,0,0,0,0,0,"1035.46793793342",4,337.851617724334,434.148345458807,1
"CP358386|CP732245|CP358388|CP358387|CP645123",434.17096192565,434.180023741177,366.425027171272,388.478596428351,605387.348920408,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+Na]+|[M+H]+|[M+Na]+|[M+Na]+|[M-H]-","3_1",42,16,5,0.76164606276735,9,0,0,"1235.36574225069|1235.36574225069|1254.24124820868|1218.32345850845|1091.33351831465",5,378.493677179391,424.978044559071,5
